mid,name
/m/011k07,tortoise
/m/011q46kg,container
/m/012074,magpie
/m/01226z,football
/m/012n7d,ambulance
/m/012w5l,ladder
/m/012xff,toothbrush
/m/012ysf,syringe
/m/0130jx,sink
/m/0138tl,toy
/m/013y1f,organ
/m/014j1m,apple
/m/014trl,cosmetics
/m/014y4n,paddle
/m/0152hh,snowman
/m/01599,beer
/m/01_5g,chopsticks
/m/015p6,bird
/m/015wgc,croissant
/m/015x4r,cucumber
/m/015x5n,radish
/m/0162_1,towel
/m/0167gd,doll
/m/016m2d,skull
/m/0174n1,glove
/m/0175cv,tick
/m/0176mf,belt
/m/017ftj,sunglasses
/m/018j2,banjo
/m/018p4k,cart
/m/018xm,ball
/m/01940j,backpack
/m/0199g,bicycle
/m/019h78,centipede
/m/019jd,boat
/m/019w40,surfboard
/m/01b638,boot
/m/01b7fy,headphones
/m/01bfm9,shorts
/m/01bjv,bus
/m/01bl7v,boy
/m/01bms0,screwdriver
/m/01btn,barge
/m/01c648,laptop
/m/01cmb2,miniskirt
/m/01d380,drill
/m/01d40f,dress
/m/01dws,bear
/m/01dwsz,waffle
/m/01dwwc,pancake
/m/01dy8n,woodpecker
/m/01f91_,pretzel
/m/01fb_0,bagel
/m/01fdzj,tower
/m/01fh4r,teapot
/m/01g317,person
/m/01gkx_,swimwear
/m/01gllr,beehive
/m/01gmv2,brassiere
/m/01h3n,bee
/m/01h44,bat
/m/01h8tj,starfish
/m/01hrv5,popcorn
/m/01j3zr,burrito
/m/01j4z9,chainsaw
/m/01j51,balloon
/m/01j5ks,wrench
/m/01j61q,tent
/m/01jfsr,lantern
/m/01k6s3,toaster
/m/01kb5b,flashlight
/m/01knjb,billboard
/m/01krhy,tiara
/m/01lcw4,limousine
/m/01llwg,necklace
/m/01lrl,carnivore
/m/01lsmm,scissors
/m/01lynh,stairs
/m/01m4t,printer
/m/01mzpv,chair
/m/01n4qj,shirt
/m/01n5jq,poster
/m/01nkt,cheese
/m/01nq26,sock
/m/01r546,earrings
/m/01rkbr,tie
/m/01rzcn,watercraft
/m/01s105,cabinetry
/m/01s55n,suitcase
/m/01tcjp,muffin
/m/01vbnl,bidet
/m/01ww8y,snack
/m/01x3jk,snowmobile
/m/01x3z,clock
/m/01xq0k1,cattle
/m/01xqw,cello
/m/01x_v,camel
/m/01xygc,coat
/m/01xyhv,suit
/m/01y9k5,desk
/m/01yrx,cat
/m/01z1kdw,juice
/m/02068x,gondola
/m/020jm,beetle
