,tortoise,container,magpie,football,ambulance,ladder,toothbrush,syringe,sink,toy,organ,apple,cosmetics,paddle,snowman,beer,chopsticks,bird,croissant,cucumber,radish,towel,doll,skull,glove,tick,belt,sunglasses,banjo,cart,ball,backpack,bicycle,centipede,boat,surfboard,boot,headphones,shorts,bus,boy,screwdriver,barge,laptop,miniskirt,drill,dress,bear,waffle,pancake,woodpecker,pretzel,bagel,tower,teapot,person,swimwear,beehive,brassiere,bee,bat,starfish,popcorn,burrito,chainsaw,balloon,wrench,tent,lantern,toaster,flashlight,billboard,tiara,limousine,necklace,carnivore,scissors,stairs,printer,chair,shirt,poster,cheese,sock,earrings,tie,watercraft,cabinetry,suitcase,muffin,bidet,snack,snowmobile,clock,cattle,cello,camel,coat,suit,desk,cat,juice,gondola,beetle,cannon,cookie,fountain,coin,calculator,cocktail,box,stapler,drum,dessert,drink,zucchini,ladle,dice,oven,dinosaur,ratchet,couch,spatula,whiteboard,door,hat,shower,eraser,fedora,guacamole,dagger,scarf,dolphin,sombrero,mug,tap,stretcher,goggles,blender,volleyball,vase,wardrobe,coffee,whisk,food,skirt,fax,fruit,nightstand,barrel,kite,tart,treadmill,fox,flag,jacket,egg,guitar,pillow,isopod,grape,panda,giraffe,woman,rhinoceros,bathtub,goldfish,houseplant,goat,house,horse,hammer,harp,sandal,saucer,harpsichord,heater,harmonica,hamster,curtain,bed,kettle,fireplace,scale,insect,kitchenware,invertebrate,bookcase,refrigerator,jaguar,artichoke,table,tableware,kangaroo,koala,knife,bottle,lynx,lavender,lighthouse,dumbbell,bowl,humidifier,porch,lizard,mammal,mouse,motorcycle,snowplow,missile,bust,man,milk,plate,mushroom,crutch,pitcher,mirror,scoreboard,briefcase,nail,oboe,ostrich,piano,girl,plant,potato,pasta,penguin,pumpkin,pear,mixer,cupboard,jacuzzi,pizza,pig,reptile,rifle,lipstick,skateboard,raven,rose,rabbit,sculpture,saxophone,shotgun,seafood,snowboard,sword,sushi,loveseat,ski,squirrel,tripod,stethoscope,submarine,scorpion,segway,snake,skyscraper,sheep,television,trombone,tea,tank,taco,telephone,torch,tiger,strawberry,trumpet,tree,tomato,train,tool,trousers,truck,coffeemaker,violin,vehicle,handbag,wine,weapon,wheel,worm,wok,whale,zebra,jug,cream,monkey,lion,bread,platter,chicken,eagle,helicopter,owl,duck,turtle,hippopotamus,crocodile,toilet,squid,clothing,footwear,lemon,spider,deer,frog,banana,rocket,countertop,dog,book,elephant,shark,candle,leopard,axe,porcupine,flower,canary,cheetah,hamburger,maple,building,fish,lobster,furniture,hedgehog,airplane,spoon,otter,bull,oyster,bomb,bench,caterpillar,butterfly,parachute,orange,antelope,beaker,window,closet,castle,jellyfish,goose,mule,swan,peach,coconut,raccoon,chisel,fork,lamp,camera,squash,racket,vegetable,diaper,unicycle,falcon,chime,snail,shellfish,cabbage,carrot,mango,jeans,flowerpot,pineapple,drawer,stool,envelope,cake,dragonfly,honeycomb,ladybug,shelf,watch,candy,salad,parrot,handgun,sparrow,van,grinder,tire,ruler,microphone,broccoli,umbrella,pastry,grapefruit,band-aid,animal,turkey,lily,pomegranate,doughnut,glasses,pen,ant,car,aircraft,skunk,watermelon,cantaloupe,dishwasher,flute,sandwich,shrimp,binoculars,ipod,accordion,willow,crab,crown,seahorse,perfume,alpaca,taxi,canoe,wheelchair,armadillo,maracas,helmet
tortoise,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,11,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,16,193,0,0,0,0,0,0,0,0,0,1,1034,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,2,1,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1139,0,8,0,0,56,19,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,4,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1056,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
container,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,23,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,12,0,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,6,0,0,0,32,0,0,0,0,3,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,3,7,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,7,0,0,0,0,3,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,2,0,2,7,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
magpie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,124,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
football,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,3,0,0,3706,0,1,0,0,0,0,0,56,0,890,0,0,2,2,0,2,1,0,0,0,0,0,0,0,4000,13,0,4,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,23,0,1,0,3,3,13,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,298,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,10,1,0,0,0,4,0,0,0,0,0,0,0,0,343,0,0,0,0,0,1777,0,1,0,0,0,1,0,0,0,0,0,0,258,1062,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,237,0,0,0,13,1,0,0,45,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1323,1728,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,6,0,0,0,0,8,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,9,0,0,0,2,0,0,0,31,0,0,0,0,10,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,98
ambulance,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,60,0,0,296,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ladder,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,6,0,0,2,3,2,4,0,0,1,0,0,7,0,0,0,0,0,0,1,0,329,1,0,0,0,0,0,0,0,0,3,0,4,1,0,0,4,0,0,0,6,0,48,0,19,0,1,0,0,0,0,4,9,0,0,0,0,0,1,0,0,0,0,3,5,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,2,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,48,0,0,0,3,0,84,0,0,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,7,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,5,0,18,0,0,0,0,0,114,0,0,0,0,0,0,1,0,0,0,0,0,17,65,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,75,0,4,40,10,26,0,1,66,2,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,74,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,6,0,0,0,0,139,0,0,75,0,6,0,0,0,0,0,1,0,0,0,0,0,0,97,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,1,2,0,0,0,0,0,16,0,0,0,0,0,0,1,0,21,0,0,0,2,1,0,0,10,0,0,0,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6
toothbrush,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syringe,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sink,0,0,0,0,0,1,12,1,0,10,0,2,1,0,0,3,1,7,0,0,0,22,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,2,3,0,34,0,0,0,4,2,11,2,0,0,1,0,0,0,1,498,0,0,2,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,1,134,1,3,0,96,5,0,0,0,0,0,0,906,1,0,221,8,0,13,0,0,0,2,0,73,141,2,0,0,0,1,4,0,0,2,3,0,0,7,34,1,1,0,175,0,0,8,3,1,104,1,313,0,1,0,0,2,0,0,2,1083,0,1,5,0,43,2,1,0,199,4,0,15,7,0,0,0,1,0,0,2,2,2,4,0,0,0,0,115,0,281,2,29,1,721,2,0,0,1,7,0,0,0,2,69,24,4,10,0,15,2,18,1,121,0,0,274,65,0,0,2,89,1,0,0,1,25,0,0,0,25,1,0,1,0,0,114,1,9,0,0,1,305,0,0,0,0,0,0,49,65,0,0,0,0,0,9,289,7,0,0,0,0,1,0,0,3,1,0,0,0,6,0,0,1,1,0,0,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,17,5,0,3,10,0,11,0,10,1,9,1,8,0,16,0,0,3,1,0,1,1,3,1,0,0,0,1,0,0,0,366,0,398,33,0,0,0,0,0,0,1101,17,5,0,0,2,0,0,0,34,0,0,0,0,438,4,1,830,0,0,4,0,0,0,0,1,0,12,0,3,0,0,315,1,0,0,0,0,0,0,0,0,0,3,2,5,0,0,15,0,0,1,2,0,3,1,0,1,16,22,0,456,14,0,0,0,0,0,142,2,0,1,2,0,0,0,0,2,0,1,0,0,1,1,0,161,0,0,0,0,8,0,0,5,0,0,4,0,43,0,0,1,0,0,1,0,5,0,0,3,0,0,1,1,0,0,1
toy,4,0,0,25,2,3,1,0,10,0,1,8,21,0,66,23,0,272,0,0,0,0,2760,23,2,0,0,52,1,6,119,1,41,0,37,1,15,7,25,43,1243,0,0,69,18,3,700,192,0,0,1,0,3,9,5,10403,10,0,5,5,2,0,2,0,1,331,0,5,3,0,0,13,1,1,19,338,1,6,1,189,4,106,1,11,2,10,44,19,5,30,0,147,0,39,15,3,3,21,35,64,178,5,0,2,5,6,4,9,4,6,64,0,5,245,108,0,0,6,0,62,0,56,1,3,21,230,0,1,27,1,2,9,5,4,23,2,0,49,1,0,41,1,4,1,550,29,0,40,11,1,80,2,0,1,10,26,5,32,26,0,0,52,23,1490,0,28,1,50,3,292,90,1,2,5,9,0,0,0,10,12,68,1,13,0,14,0,20,66,3,1,0,450,89,1,5,3,145,0,0,2,0,5,0,9,2,1034,8,72,2,1,2,1218,1,3,3,0,1,17,1,0,0,0,1,14,1991,1078,0,0,30,26,1,2,7,0,2,23,16,34,12,7,0,41,105,188,0,5,4,0,7,2,5,1,7,3,2,1,1,0,1,17,13,18,0,2,44,0,9,0,8,5,0,720,0,167,23,74,126,0,2,2110,13,5,247,1240,0,1,0,4,4,0,48,5,2,2,19,3,50,16,164,5,1,5,1,0,8073,1213,2,1,18,35,4,3,2,262,164,30,3,42,3,2,1,407,1,1,1,7,390,12,3,751,3,151,3,1,4,0,0,8,0,12,24,5,1,1,103,4,15,0,5,0,2,0,0,1,0,3,11,27,8,2,34,7,0,1,0,3,0,0,5,0,126,46,2,17,4,0,175,2,0,3,249,8,21,3,10,8,0,29,0,420,1,14,2,20,14,2,0,1469,0,2,0,3,286,6,0,726,201,1,0,0,0,3,3,0,0,2,7,0,4,4,1,1,0,4,0,1,0,3,239
