2020/08/06 07:15:15: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:15:16:     Epoch 1 Loss | total: 1461.1 | cycle: 111 | f_dist: 57.7 | g_dist: 53.1 | f_sup: 523 | g_sup: 716        f(x) Accuracy | 1: 0.01 | 5: 0.07 | 10: 0.12 | half: 0.62        g(y) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.58
2020/08/06 07:15:16:     Epoch 3 Loss | total: 763.18 | cycle: 84.1 | f_dist: 112 | g_dist: 158 | f_sup: 234 | g_sup: 175        f(x) Accuracy | 1: 0.02 | 5: 0.15 | 10: 0.26 | half: 0.76        g(y) Accuracy | 1: 0.03 | 5: 0.14 | 10: 0.27 | half: 0.81
2020/08/06 07:15:16:     Epoch 5 Loss | total: 609.43 | cycle: 72.6 | f_dist: 48.1 | g_dist: 67.4 | f_sup: 232 | g_sup: 190        f(x) Accuracy | 1: 0.04 | 5: 0.12 | 10: 0.17 | half: 0.69        g(y) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.26 | half: 0.77
2020/08/06 07:15:16:     Epoch 7 Loss | total: 594.33 | cycle: 36.9 | f_dist: 54.1 | g_dist: 37.9 | f_sup: 221 | g_sup: 245        f(x) Accuracy | 1: 0.07 | 5: 0.15 | 10: 0.23 | half: 0.76        g(y) Accuracy | 1: 0.08 | 5: 0.15 | 10: 0.23 | half: 0.73
2020/08/06 07:15:16:     Epoch 9 Loss | total: 555.79 | cycle: 49.3 | f_dist: 69.4 | g_dist: 64.9 | f_sup: 179 | g_sup: 194        f(x) Accuracy | 1: 0.06 | 5: 0.20 | 10: 0.28 | half: 0.81        g(y) Accuracy | 1: 0.07 | 5: 0.18 | 10: 0.25 | half: 0.78
2020/08/06 07:15:16:     Epoch 11 Loss | total: 540.79 | cycle: 50.5 | f_dist: 67.4 | g_dist: 75.5 | f_sup: 180 | g_sup: 167        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.79        g(y) Accuracy | 1: 0.08 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:17:     Epoch 13 Loss | total: 540.27 | cycle: 48.4 | f_dist: 73.8 | g_dist: 69.3 | f_sup: 172 | g_sup: 176        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.26 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.28 | half: 0.81
2020/08/06 07:15:17:     Epoch 15 Loss | total: 534.82 | cycle: 48.1 | f_dist: 73.1 | g_dist: 74.8 | f_sup: 171 | g_sup: 168        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.27 | half: 0.81        g(y) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.27 | half: 0.82
2020/08/06 07:15:17:     Epoch 17 Loss | total: 533.74 | cycle: 49.5 | f_dist: 71.4 | g_dist: 73.2 | f_sup: 172 | g_sup: 168        f(x) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.26 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.25 | half: 0.80
2020/08/06 07:15:17:     Epoch 19 Loss | total: 538.15 | cycle: 53.6 | f_dist: 69.7 | g_dist: 67 | f_sup: 172 | g_sup: 175        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.24 | half: 0.79        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.26 | half: 0.79
2020/08/06 07:15:17:     Epoch 21 Loss | total: 538.64 | cycle: 52.9 | f_dist: 67.3 | g_dist: 67.9 | f_sup: 176 | g_sup: 175        f(x) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.26 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.24 | half: 0.80
2020/08/06 07:15:18:     Epoch 23 Loss | total: 534.29 | cycle: 50.1 | f_dist: 69.2 | g_dist: 69.4 | f_sup: 173 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.26 | half: 0.80
2020/08/06 07:15:18:     Epoch 25 Loss | total: 534.99 | cycle: 51.8 | f_dist: 69.6 | g_dist: 68.9 | f_sup: 172 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:18:     Epoch 27 Loss | total: 531.19 | cycle: 47.8 | f_dist: 68.1 | g_dist: 68.7 | f_sup: 173 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.24 | half: 0.80
2020/08/06 07:15:18:     Epoch 29 Loss | total: 534.96 | cycle: 52.2 | f_dist: 68.4 | g_dist: 69.1 | f_sup: 173 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.24 | half: 0.80
2020/08/06 07:15:18:     Epoch 31 Loss | total: 529.5 | cycle: 46.9 | f_dist: 68.3 | g_dist: 68.5 | f_sup: 173 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.24 | half: 0.80
2020/08/06 07:15:19:     Epoch 33 Loss | total: 532.66 | cycle: 50.4 | f_dist: 68.4 | g_dist: 68.6 | f_sup: 172 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:19:     Epoch 35 Loss | total: 534.94 | cycle: 53.3 | f_dist: 68.4 | g_dist: 69 | f_sup: 172 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.24 | half: 0.80
2020/08/06 07:15:19:     Epoch 37 Loss | total: 524.54 | cycle: 43 | f_dist: 68.2 | g_dist: 68.6 | f_sup: 172 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:19:     Epoch 39 Loss | total: 528.66 | cycle: 47.6 | f_dist: 68.4 | g_dist: 68.6 | f_sup: 172 | g_sup: 173        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:19:     Epoch 41 Loss | total: 532.42 | cycle: 51.7 | f_dist: 68.1 | g_dist: 68.8 | f_sup: 172 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.24 | half: 0.80
2020/08/06 07:15:20:     Epoch 43 Loss | total: 537.78 | cycle: 57.4 | f_dist: 68.2 | g_dist: 68.7 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:20:     Epoch 45 Loss | total: 527.05 | cycle: 46.8 | f_dist: 68.1 | g_dist: 68.5 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.25 | half: 0.80
2020/08/06 07:15:20:     Epoch 47 Loss | total: 524.78 | cycle: 44.8 | f_dist: 67.9 | g_dist: 68.7 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.09 | 5: 0.19 | 10: 0.24 | half: 0.80
2020/08/06 07:15:20:     Epoch 49 Loss | total: 528.23 | cycle: 48.8 | f_dist: 68.3 | g_dist: 68.7 | f_sup: 171 | g_sup: 172        f(x) Accuracy | 1: 0.07 | 5: 0.20 | 10: 0.25 | half: 0.80        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.25 | half: 0.80
