2020/08/06 07:14:29: Ceiling Accuracy 1: 0.99 5: 1.00 10: 1.00 Half: 1.00

2020/08/06 07:14:29:     Epoch 1 Loss | total: 1319.8 | cycle: 102 | f_dist: 115 | g_dist: 126 | f_sup: 531 | g_sup: 446        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.54        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.08 | half: 0.62
2020/08/06 07:14:29:     Epoch 3 Loss | total: 553.61 | cycle: 41.6 | f_dist: 71.7 | g_dist: 58.6 | f_sup: 187 | g_sup: 194        f(x) Accuracy | 1: 0.02 | 5: 0.12 | 10: 0.27 | half: 0.80        g(y) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.23 | half: 0.81
2020/08/06 07:14:29:     Epoch 5 Loss | total: 549.99 | cycle: 71.7 | f_dist: 94.8 | g_dist: 75.4 | f_sup: 147 | g_sup: 161        f(x) Accuracy | 1: 0.10 | 5: 0.23 | 10: 0.32 | half: 0.79        g(y) Accuracy | 1: 0.08 | 5: 0.24 | 10: 0.32 | half: 0.79
2020/08/06 07:14:29:     Epoch 7 Loss | total: 547.23 | cycle: 60.9 | f_dist: 50 | g_dist: 59.1 | f_sup: 193 | g_sup: 184        f(x) Accuracy | 1: 0.03 | 5: 0.17 | 10: 0.27 | half: 0.75        g(y) Accuracy | 1: 0.03 | 5: 0.15 | 10: 0.25 | half: 0.75
2020/08/06 07:14:30:     Epoch 9 Loss | total: 516.59 | cycle: 44.2 | f_dist: 48.4 | g_dist: 50.7 | f_sup: 191 | g_sup: 183        f(x) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.31 | half: 0.75        g(y) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.31 | half: 0.77
2020/08/06 07:14:30:     Epoch 11 Loss | total: 508.1 | cycle: 40.5 | f_dist: 61.3 | g_dist: 55.5 | f_sup: 173 | g_sup: 178        f(x) Accuracy | 1: 0.08 | 5: 0.23 | 10: 0.31 | half: 0.78        g(y) Accuracy | 1: 0.06 | 5: 0.20 | 10: 0.32 | half: 0.78
2020/08/06 07:14:30:     Epoch 13 Loss | total: 502.18 | cycle: 41 | f_dist: 62.1 | g_dist: 61.5 | f_sup: 168 | g_sup: 169        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.30 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.22 | 10: 0.30 | half: 0.77
2020/08/06 07:14:30:     Epoch 15 Loss | total: 513.03 | cycle: 51.3 | f_dist: 56.9 | g_dist: 60 | f_sup: 175 | g_sup: 170        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.33 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.32 | half: 0.77
2020/08/06 07:14:30:     Epoch 17 Loss | total: 506.38 | cycle: 44.1 | f_dist: 55.5 | g_dist: 56.1 | f_sup: 177 | g_sup: 174        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.31 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77
2020/08/06 07:14:31:     Epoch 19 Loss | total: 514.66 | cycle: 53 | f_dist: 58.3 | g_dist: 56.4 | f_sup: 173 | g_sup: 174        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.30 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.31 | half: 0.77
2020/08/06 07:14:31:     Epoch 21 Loss | total: 512.09 | cycle: 51 | f_dist: 58.1 | g_dist: 58.2 | f_sup: 173 | g_sup: 172        f(x) Accuracy | 1: 0.10 | 5: 0.20 | 10: 0.32 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.30 | half: 0.77
