2020/07/30 06:57:01:     Epoch 1 Loss | total: 11360 | cycle: 920 | f_dist: 2.2e+03 | g_dist: 1.73e+03 | f_sup: 3.47e+03 | g_sup: 3.04e+03        f(x) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.03 | half: 0.53        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.53
2020/07/30 06:57:03:     Epoch 3 Loss | total: 7888.6 | cycle: 572 | f_dist: 1.93e+03 | g_dist: 1.55e+03 | f_sup: 2.17e+03 | g_sup: 1.67e+03        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.03 | half: 0.63        g(y) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.69
2020/07/30 06:57:04:     Epoch 5 Loss | total: 6350.4 | cycle: 439 | f_dist: 1.7e+03 | g_dist: 1.45e+03 | f_sup: 1.57e+03 | g_sup: 1.19e+03        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.73        g(y) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.14 | half: 0.76
2020/07/30 06:57:06:     Epoch 7 Loss | total: 5460.4 | cycle: 332 | f_dist: 1.6e+03 | g_dist: 1.39e+03 | f_sup: 1.2e+03 | g_sup: 947        f(x) Accuracy | 1: 0.05 | 5: 0.12 | 10: 0.18 | half: 0.76        g(y) Accuracy | 1: 0.07 | 5: 0.14 | 10: 0.21 | half: 0.78
2020/07/30 06:57:07:     Epoch 9 Loss | total: 4951.3 | cycle: 297 | f_dist: 1.54e+03 | g_dist: 1.35e+03 | f_sup: 976 | g_sup: 791        f(x) Accuracy | 1: 0.07 | 5: 0.14 | 10: 0.21 | half: 0.77        g(y) Accuracy | 1: 0.08 | 5: 0.18 | 10: 0.24 | half: 0.79
2020/07/30 06:57:09:     Epoch 11 Loss | total: 4567.3 | cycle: 243 | f_dist: 1.5e+03 | g_dist: 1.32e+03 | f_sup: 826 | g_sup: 676        f(x) Accuracy | 1: 0.08 | 5: 0.17 | 10: 0.24 | half: 0.78        g(y) Accuracy | 1: 0.08 | 5: 0.20 | 10: 0.26 | half: 0.81
2020/07/30 06:57:10:     Epoch 13 Loss | total: 4276.9 | cycle: 202 | f_dist: 1.48e+03 | g_dist: 1.3e+03 | f_sup: 708 | g_sup: 591        f(x) Accuracy | 1: 0.10 | 5: 0.19 | 10: 0.26 | half: 0.79        g(y) Accuracy | 1: 0.09 | 5: 0.21 | 10: 0.28 | half: 0.83
2020/07/30 06:57:12:     Epoch 15 Loss | total: 4058.1 | cycle: 172 | f_dist: 1.45e+03 | g_dist: 1.29e+03 | f_sup: 619 | g_sup: 529        f(x) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.26 | half: 0.79        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.28 | half: 0.83
2020/07/30 06:57:13:     Epoch 17 Loss | total: 3951 | cycle: 156 | f_dist: 1.44e+03 | g_dist: 1.29e+03 | f_sup: 577 | g_sup: 494        f(x) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.27 | half: 0.77        g(y) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.27 | half: 0.83
2020/07/30 06:57:15:     Epoch 19 Loss | total: 3892.9 | cycle: 158 | f_dist: 1.43e+03 | g_dist: 1.28e+03 | f_sup: 550 | g_sup: 472        f(x) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.27 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.27 | half: 0.83
2020/07/30 06:57:16:     Epoch 21 Loss | total: 3674.1 | cycle: 119 | f_dist: 1.4e+03 | g_dist: 1.27e+03 | f_sup: 468 | g_sup: 414        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.26 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.28 | half: 0.82
2020/07/30 06:57:17:     Epoch 23 Loss | total: 3597 | cycle: 136 | f_dist: 1.39e+03 | g_dist: 1.27e+03 | f_sup: 420 | g_sup: 381        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.26 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.28 | half: 0.82
2020/07/30 06:57:19:     Epoch 25 Loss | total: 3529.8 | cycle: 117 | f_dist: 1.39e+03 | g_dist: 1.26e+03 | f_sup: 396 | g_sup: 361        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.26 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.21 | 10: 0.28 | half: 0.82
2020/07/30 06:57:20:     Epoch 27 Loss | total: 3507.6 | cycle: 114 | f_dist: 1.39e+03 | g_dist: 1.27e+03 | f_sup: 390 | g_sup: 348        f(x) Accuracy | 1: 0.12 | 5: 0.21 | 10: 0.27 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.28 | half: 0.81
2020/07/30 06:57:22:     Epoch 29 Loss | total: 3452.6 | cycle: 109 | f_dist: 1.38e+03 | g_dist: 1.27e+03 | f_sup: 365 | g_sup: 332        f(x) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.26 | half: 0.77        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.27 | half: 0.82
2020/07/30 06:57:23:     Epoch 31 Loss | total: 3373.5 | cycle: 94.6 | f_dist: 1.37e+03 | g_dist: 1.26e+03 | f_sup: 339 | g_sup: 313        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.27 | half: 0.77        g(y) Accuracy | 1: 0.12 | 5: 0.20 | 10: 0.27 | half: 0.82
2020/07/30 06:57:25:     Epoch 33 Loss | total: 3334 | cycle: 83.9 | f_dist: 1.36e+03 | g_dist: 1.26e+03 | f_sup: 327 | g_sup: 301        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.26 | half: 0.78        g(y) Accuracy | 1: 0.12 | 5: 0.21 | 10: 0.27 | half: 0.82
2020/07/30 06:57:26:     Epoch 35 Loss | total: 3289.4 | cycle: 78.4 | f_dist: 1.36e+03 | g_dist: 1.26e+03 | f_sup: 306 | g_sup: 287        f(x) Accuracy | 1: 0.12 | 5: 0.19 | 10: 0.26 | half: 0.78        g(y) Accuracy | 1: 0.11 | 5: 0.20 | 10: 0.27 | half: 0.81
