2020/07/30 06:11:09:     Epoch 1 Loss | total: 1.0837e+06 | cycle: 3.91e+04 | f_dist: 1.23e+05 | g_dist: 1.19e+05 | f_sup: 4.23e+05 | g_sup: 3.8e+05        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.50        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.49
2020/07/30 06:11:10:     Epoch 3 Loss | total: 5.436e+05 | cycle: 3.3e+04 | f_dist: 8e+04 | g_dist: 6.41e+04 | f_sup: 2.05e+05 | g_sup: 1.61e+05        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.52        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.54
2020/07/30 06:11:12:     Epoch 5 Loss | total: 4.9585e+05 | cycle: 3.22e+04 | f_dist: 7.69e+04 | g_dist: 6.35e+04 | f_sup: 1.79e+05 | g_sup: 1.44e+05        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.55        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.56
2020/07/30 06:11:13:     Epoch 7 Loss | total: 4.7183e+05 | cycle: 2.97e+04 | f_dist: 7.44e+04 | g_dist: 6.15e+04 | f_sup: 1.71e+05 | g_sup: 1.36e+05        f(x) Accuracy | 1: 0.01 | 5: 0.01 | 10: 0.03 | half: 0.59        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.03 | half: 0.62
2020/07/30 06:11:14:     Epoch 9 Loss | total: 4.4736e+05 | cycle: 2.63e+04 | f_dist: 7.2e+04 | g_dist: 5.94e+04 | f_sup: 1.62e+05 | g_sup: 1.28e+05        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.04 | half: 0.62        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.05 | half: 0.66
2020/07/30 06:11:15:     Epoch 11 Loss | total: 4.3144e+05 | cycle: 2.69e+04 | f_dist: 7.03e+04 | g_dist: 5.79e+04 | f_sup: 1.55e+05 | g_sup: 1.22e+05        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.67        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.71
2020/07/30 06:11:16:     Epoch 13 Loss | total: 4.1836e+05 | cycle: 2.84e+04 | f_dist: 6.89e+04 | g_dist: 5.67e+04 | f_sup: 1.48e+05 | g_sup: 1.16e+05        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.69        g(y) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.72
2020/07/30 06:11:17:     Epoch 15 Loss | total: 4.0484e+05 | cycle: 2.58e+04 | f_dist: 6.78e+04 | g_dist: 5.58e+04 | f_sup: 1.43e+05 | g_sup: 1.12e+05        f(x) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.06 | half: 0.72        g(y) Accuracy | 1: 0.02 | 5: 0.04 | 10: 0.08 | half: 0.74
2020/07/30 06:11:18:     Epoch 17 Loss | total: 3.9402e+05 | cycle: 2.39e+04 | f_dist: 6.7e+04 | g_dist: 5.53e+04 | f_sup: 1.39e+05 | g_sup: 1.09e+05        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.74        g(y) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.09 | half: 0.76
2020/07/30 06:11:19:     Epoch 19 Loss | total: 3.8908e+05 | cycle: 2.63e+04 | f_dist: 6.62e+04 | g_dist: 5.48e+04 | f_sup: 1.36e+05 | g_sup: 1.06e+05        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.76        g(y) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.10 | half: 0.76
2020/07/30 06:11:20:     Epoch 21 Loss | total: 3.8003e+05 | cycle: 2.35e+04 | f_dist: 6.56e+04 | g_dist: 5.45e+04 | f_sup: 1.33e+05 | g_sup: 1.03e+05        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.77        g(y) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.77
