2020/07/30 06:15:28:     Epoch 1 Loss | total: 3864.3 | cycle: 505 | f_dist: 1.12e+03 | g_dist: 1.26e+03 | f_sup: 503 | g_sup: 482        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.50        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.50
2020/07/30 06:15:30:     Epoch 3 Loss | total: 3239.3 | cycle: 275 | f_dist: 950 | g_dist: 1.13e+03 | f_sup: 432 | g_sup: 457        f(x) Accuracy | 1: 0.01 | 5: 0.01 | 10: 0.02 | half: 0.54        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.56
2020/07/30 06:15:31:     Epoch 5 Loss | total: 3000.4 | cycle: 150 | f_dist: 868 | g_dist: 1.08e+03 | f_sup: 433 | g_sup: 471        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.61        g(y) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.04 | half: 0.62
2020/07/30 06:15:32:     Epoch 7 Loss | total: 2889.4 | cycle: 130 | f_dist: 829 | g_dist: 1.04e+03 | f_sup: 422 | g_sup: 466        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.05 | half: 0.63        g(y) Accuracy | 1: 0.00 | 5: 0.03 | 10: 0.05 | half: 0.65
2020/07/30 06:15:33:     Epoch 9 Loss | total: 2793.6 | cycle: 96.2 | f_dist: 805 | g_dist: 1.02e+03 | f_sup: 415 | g_sup: 462        f(x) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.05 | half: 0.68        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.66
2020/07/30 06:15:34:     Epoch 11 Loss | total: 2712.1 | cycle: 69.3 | f_dist: 787 | g_dist: 996 | f_sup: 407 | g_sup: 452        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.71        g(y) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.07 | half: 0.68
2020/07/30 06:15:35:     Epoch 13 Loss | total: 2651.2 | cycle: 51.5 | f_dist: 773 | g_dist: 983 | f_sup: 397 | g_sup: 447        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.08 | half: 0.72        g(y) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.09 | half: 0.69
2020/07/30 06:15:36:     Epoch 15 Loss | total: 2614.7 | cycle: 45 | f_dist: 767 | g_dist: 969 | f_sup: 391 | g_sup: 443        f(x) Accuracy | 1: 0.01 | 5: 0.04 | 10: 0.08 | half: 0.75        g(y) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.71
2020/07/30 06:15:37:     Epoch 17 Loss | total: 2584.5 | cycle: 41.8 | f_dist: 759 | g_dist: 961 | f_sup: 386 | g_sup: 437        f(x) Accuracy | 1: 0.01 | 5: 0.05 | 10: 0.08 | half: 0.76        g(y) Accuracy | 1: 0.02 | 5: 0.06 | 10: 0.10 | half: 0.72
2020/07/30 06:15:38:     Epoch 19 Loss | total: 2568.2 | cycle: 42 | f_dist: 757 | g_dist: 959 | f_sup: 379 | g_sup: 432        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.76        g(y) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.74
2020/07/30 06:15:39:     Epoch 21 Loss | total: 2543 | cycle: 32.6 | f_dist: 753 | g_dist: 956 | f_sup: 374 | g_sup: 428        f(x) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.11 | half: 0.77        g(y) Accuracy | 1: 0.03 | 5: 0.07 | 10: 0.11 | half: 0.75
2020/07/30 06:15:40:     Epoch 23 Loss | total: 2522.5 | cycle: 31 | f_dist: 748 | g_dist: 951 | f_sup: 370 | g_sup: 422        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.77        g(y) Accuracy | 1: 0.03 | 5: 0.08 | 10: 0.11 | half: 0.77
2020/07/30 06:15:41:     Epoch 25 Loss | total: 2505.8 | cycle: 31.5 | f_dist: 741 | g_dist: 948 | f_sup: 366 | g_sup: 419        f(x) Accuracy | 1: 0.01 | 5: 0.07 | 10: 0.12 | half: 0.78        g(y) Accuracy | 1: 0.03 | 5: 0.08 | 10: 0.11 | half: 0.77
2020/07/30 06:15:43:     Epoch 27 Loss | total: 2493 | cycle: 33.2 | f_dist: 738 | g_dist: 943 | f_sup: 363 | g_sup: 416        f(x) Accuracy | 1: 0.01 | 5: 0.07 | 10: 0.13 | half: 0.79        g(y) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.12 | half: 0.78
2020/07/30 06:15:44:     Epoch 29 Loss | total: 2477.1 | cycle: 26.8 | f_dist: 737 | g_dist: 939 | f_sup: 361 | g_sup: 413        f(x) Accuracy | 1: 0.01 | 5: 0.08 | 10: 0.13 | half: 0.79        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.12 | half: 0.78
2020/07/30 06:15:45:     Epoch 31 Loss | total: 2464 | cycle: 23.8 | f_dist: 733 | g_dist: 938 | f_sup: 360 | g_sup: 410        f(x) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.13 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.12 | half: 0.79
2020/07/30 06:15:46:     Epoch 33 Loss | total: 2458.6 | cycle: 26.5 | f_dist: 733 | g_dist: 934 | f_sup: 357 | g_sup: 408        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.13 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.12 | half: 0.79
2020/07/30 06:15:47:     Epoch 35 Loss | total: 2446.5 | cycle: 20.3 | f_dist: 732 | g_dist: 932 | f_sup: 355 | g_sup: 407        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.13 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.12 | half: 0.80
2020/07/30 06:15:48:     Epoch 37 Loss | total: 2449.9 | cycle: 26.7 | f_dist: 731 | g_dist: 932 | f_sup: 354 | g_sup: 406        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.14 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.13 | half: 0.81
2020/07/30 06:15:49:     Epoch 39 Loss | total: 2443 | cycle: 23.4 | f_dist: 730 | g_dist: 932 | f_sup: 352 | g_sup: 405        f(x) Accuracy | 1: 0.02 | 5: 0.08 | 10: 0.15 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.13 | half: 0.82
2020/07/30 06:15:50:     Epoch 41 Loss | total: 2439.9 | cycle: 22.8 | f_dist: 731 | g_dist: 931 | f_sup: 351 | g_sup: 404        f(x) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.14 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.13 | half: 0.82
2020/07/30 06:15:51:     Epoch 43 Loss | total: 2436.2 | cycle: 23.4 | f_dist: 731 | g_dist: 931 | f_sup: 350 | g_sup: 401        f(x) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.14 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.14 | half: 0.83
2020/07/30 06:15:52:     Epoch 45 Loss | total: 2428.7 | cycle: 21.4 | f_dist: 732 | g_dist: 929 | f_sup: 348 | g_sup: 398        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.81        g(y) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.14 | half: 0.84
2020/07/30 06:15:53:     Epoch 47 Loss | total: 2427.8 | cycle: 23.9 | f_dist: 730 | g_dist: 930 | f_sup: 347 | g_sup: 396        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.82        g(y) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.14 | half: 0.84
2020/07/30 06:15:55:     Epoch 49 Loss | total: 2419.1 | cycle: 21.2 | f_dist: 729 | g_dist: 929 | f_sup: 347 | g_sup: 394        f(x) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.83        g(y) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.14 | half: 0.84
2020/07/30 06:15:56:     Epoch 51 Loss | total: 2415.3 | cycle: 21.9 | f_dist: 729 | g_dist: 927 | f_sup: 346 | g_sup: 392        f(x) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.16 | half: 0.83        g(y) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.15 | half: 0.84
2020/07/30 06:15:57:     Epoch 53 Loss | total: 2411.2 | cycle: 23.2 | f_dist: 726 | g_dist: 925 | f_sup: 345 | g_sup: 392        f(x) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.16 | half: 0.83        g(y) Accuracy | 1: 0.02 | 5: 0.11 | 10: 0.14 | half: 0.83
2020/07/30 06:15:58:     Epoch 55 Loss | total: 2409.5 | cycle: 20.7 | f_dist: 729 | g_dist: 925 | f_sup: 344 | g_sup: 392        f(x) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.16 | half: 0.83        g(y) Accuracy | 1: 0.02 | 5: 0.10 | 10: 0.15 | half: 0.84
