2020/07/29 17:30:21:     Epoch 1 Loss | total: 283.88 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 150 | g_sup: 134        f(x) Accuracy | 1: 0.06 | 5: 0.16 | 10: 0.22 | half: 0.86        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.15 | half: 0.80
2020/07/29 17:30:24:     Epoch 3 Loss | total: 308.43 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 154 | g_sup: 155        f(x) Accuracy | 1: 0.10 | 5: 0.21 | 10: 0.28 | half: 0.86        g(y) Accuracy | 1: 0.04 | 5: 0.13 | 10: 0.19 | half: 0.80
2020/07/29 17:30:28:     Epoch 5 Loss | total: 599.24 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 314 | g_sup: 285        f(x) Accuracy | 1: 0.04 | 5: 0.10 | 10: 0.18 | half: 0.80        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.13 | half: 0.74
2020/07/29 17:30:31:     Epoch 7 Loss | total: 2611.1 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 1.33e+03 | g_sup: 1.28e+03        f(x) Accuracy | 1: 0.02 | 5: 0.09 | 10: 0.16 | half: 0.78        g(y) Accuracy | 1: 0.02 | 5: 0.07 | 10: 0.11 | half: 0.78
2020/07/29 17:30:34:     Epoch 9 Loss | total: 3422.7 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 1.09e+03 | g_sup: 2.33e+03        f(x) Accuracy | 1: 0.01 | 5: 0.06 | 10: 0.09 | half: 0.77        g(y) Accuracy | 1: 0.00 | 5: 0.04 | 10: 0.07 | half: 0.66
2020/07/29 17:30:37:     Epoch 11 Loss | total: 2621.9 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 1.27e+03 | g_sup: 1.35e+03        f(x) Accuracy | 1: 0.03 | 5: 0.12 | 10: 0.16 | half: 0.83        g(y) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.09 | half: 0.69
2020/07/29 17:30:41:     Epoch 13 Loss | total: 4885.1 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 1.67e+03 | g_sup: 3.21e+03        f(x) Accuracy | 1: 0.06 | 5: 0.16 | 10: 0.22 | half: 0.85        g(y) Accuracy | 1: 0.02 | 5: 0.05 | 10: 0.09 | half: 0.70
2020/07/29 17:30:44:     Epoch 15 Loss | total: 2277.9 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 1.21e+03 | g_sup: 1.07e+03        f(x) Accuracy | 1: 0.05 | 5: 0.14 | 10: 0.21 | half: 0.85        g(y) Accuracy | 1: 0.03 | 5: 0.09 | 10: 0.14 | half: 0.78
2020/07/29 17:30:47:     Epoch 17 Loss | total: 1090.4 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 575 | g_sup: 515        f(x) Accuracy | 1: 0.08 | 5: 0.17 | 10: 0.22 | half: 0.81        g(y) Accuracy | 1: 0.05 | 5: 0.11 | 10: 0.17 | half: 0.80
2020/07/29 17:30:50:     Epoch 19 Loss | total: 326.26 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 172 | g_sup: 154        f(x) Accuracy | 1: 0.09 | 5: 0.20 | 10: 0.27 | half: 0.86        g(y) Accuracy | 1: 0.04 | 5: 0.12 | 10: 0.17 | half: 0.81
2020/07/29 17:30:54:     Epoch 21 Loss | total: 191.65 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 103 | g_sup: 88.3        f(x) Accuracy | 1: 0.11 | 5: 0.25 | 10: 0.34 | half: 0.89        g(y) Accuracy | 1: 0.05 | 5: 0.16 | 10: 0.22 | half: 0.85
2020/07/29 17:30:57:     Epoch 23 Loss | total: 168.4 | cycle: 0 | f_dist: 0 | g_dist: 0 | f_sup: 92.9 | g_sup: 75.5        f(x) Accuracy | 1: 0.13 | 5: 0.28 | 10: 0.36 | half: 0.90        g(y) Accuracy | 1: 0.06 | 5: 0.16 | 10: 0.21 | half: 0.83
