2020/07/28 20:50:05:     Epoch 1 Loss | total: 1610.2 | cycle: 133 | f_dist: 600 | g_dist: 480 | f_sup: 207 | g_sup: 190        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.55        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.02 | half: 0.52
2020/07/28 20:50:06:     Epoch 3 Loss | total: 1452 | cycle: 105 | f_dist: 567 | g_dist: 435 | f_sup: 183 | g_sup: 162        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.55        g(y) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.55
2020/07/28 20:50:08:     Epoch 5 Loss | total: 1386.4 | cycle: 92.7 | f_dist: 552 | g_dist: 414 | f_sup: 175 | g_sup: 153        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.57        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.58
2020/07/28 20:50:09:     Epoch 7 Loss | total: 1341.1 | cycle: 82.2 | f_dist: 541 | g_dist: 400 | f_sup: 170 | g_sup: 147        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.03 | half: 0.58        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.59
2020/07/28 20:50:11:     Epoch 9 Loss | total: 1314.2 | cycle: 80.3 | f_dist: 533 | g_dist: 390 | f_sup: 167 | g_sup: 143        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.04 | half: 0.58        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.05 | half: 0.61
2020/07/28 20:50:13:     Epoch 11 Loss | total: 1297.9 | cycle: 84.4 | f_dist: 527 | g_dist: 382 | f_sup: 164 | g_sup: 140        f(x) Accuracy | 1: 0.00 | 5: 0.01 | 10: 0.04 | half: 0.59        g(y) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.05 | half: 0.62
2020/07/28 20:50:14:     Epoch 13 Loss | total: 1269.8 | cycle: 73 | f_dist: 521 | g_dist: 376 | f_sup: 162 | g_sup: 138        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.61        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.04 | half: 0.64
2020/07/28 20:50:16:     Epoch 15 Loss | total: 1262.3 | cycle: 79.7 | f_dist: 516 | g_dist: 370 | f_sup: 160 | g_sup: 136        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.04 | half: 0.61        g(y) Accuracy | 1: 0.01 | 5: 0.02 | 10: 0.05 | half: 0.65
2020/07/28 20:50:17:     Epoch 17 Loss | total: 1242.5 | cycle: 72.1 | f_dist: 512 | g_dist: 366 | f_sup: 159 | g_sup: 134        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.61        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.05 | half: 0.66
2020/07/28 20:50:19:     Epoch 19 Loss | total: 1233 | cycle: 72.7 | f_dist: 508 | g_dist: 362 | f_sup: 157 | g_sup: 133        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.62        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.66
2020/07/28 20:50:20:     Epoch 21 Loss | total: 1226 | cycle: 74.2 | f_dist: 505 | g_dist: 359 | f_sup: 156 | g_sup: 132        f(x) Accuracy | 1: 0.00 | 5: 0.02 | 10: 0.03 | half: 0.63        g(y) Accuracy | 1: 0.01 | 5: 0.03 | 10: 0.06 | half: 0.67
